dataset,model_key,true_label,predicted_label,count
MetaSMS,phi4_mini_zero-shot_basic_direct,ham,ham,6240
MetaSMS,phi4_mini_zero-shot_basic_direct,ham,spam,144
MetaSMS,phi4_mini_zero-shot_basic_direct,ham,smishing,1884
MetaSMS,phi4_mini_zero-shot_basic_direct,spam,ham,38
MetaSMS,phi4_mini_zero-shot_basic_direct,spam,spam,283
MetaSMS,phi4_mini_zero-shot_basic_direct,spam,smishing,298
MetaSMS,phi4_mini_zero-shot_basic_direct,smishing,ham,38
MetaSMS,phi4_mini_zero-shot_basic_direct,smishing,spam,401
MetaSMS,phi4_mini_zero-shot_basic_direct,smishing,smishing,674
MetaSMS,phi4_mini_zero-shot_expert_direct,ham,ham,6019
MetaSMS,phi4_mini_zero-shot_expert_direct,ham,spam,482
MetaSMS,phi4_mini_zero-shot_expert_direct,ham,smishing,1767
MetaSMS,phi4_mini_zero-shot_expert_direct,spam,ham,28
MetaSMS,phi4_mini_zero-shot_expert_direct,spam,spam,240
MetaSMS,phi4_mini_zero-shot_expert_direct,spam,smishing,351
MetaSMS,phi4_mini_zero-shot_expert_direct,smishing,ham,21
MetaSMS,phi4_mini_zero-shot_expert_direct,smishing,spam,311
MetaSMS,phi4_mini_zero-shot_expert_direct,smishing,smishing,781
MetaSMS,phi4_mini_zero-shot_expert_cot,ham,ham,5886
MetaSMS,phi4_mini_zero-shot_expert_cot,ham,spam,874
MetaSMS,phi4_mini_zero-shot_expert_cot,ham,smishing,1508
MetaSMS,phi4_mini_zero-shot_expert_cot,spam,ham,53
MetaSMS,phi4_mini_zero-shot_expert_cot,spam,spam,152
MetaSMS,phi4_mini_zero-shot_expert_cot,spam,smishing,414
MetaSMS,phi4_mini_zero-shot_expert_cot,smishing,ham,47
MetaSMS,phi4_mini_zero-shot_expert_cot,smishing,spam,165
MetaSMS,phi4_mini_zero-shot_expert_cot,smishing,smishing,901
MetaSMS,phi4_mini_few-shot_expert_cot,ham,ham,6778
MetaSMS,phi4_mini_few-shot_expert_cot,ham,spam,474
MetaSMS,phi4_mini_few-shot_expert_cot,ham,smishing,1016
MetaSMS,phi4_mini_few-shot_expert_cot,spam,ham,88
MetaSMS,phi4_mini_few-shot_expert_cot,spam,spam,134
MetaSMS,phi4_mini_few-shot_expert_cot,spam,smishing,397
MetaSMS,phi4_mini_few-shot_expert_cot,smishing,ham,89
MetaSMS,phi4_mini_few-shot_expert_cot,smishing,spam,157
MetaSMS,phi4_mini_few-shot_expert_cot,smishing,smishing,867
MetaSMS,gemma3_4b_zero-shot_basic_direct,ham,ham,7265
MetaSMS,gemma3_4b_zero-shot_basic_direct,ham,spam,930
MetaSMS,gemma3_4b_zero-shot_basic_direct,ham,smishing,73
MetaSMS,gemma3_4b_zero-shot_basic_direct,spam,ham,37
MetaSMS,gemma3_4b_zero-shot_basic_direct,spam,spam,322
MetaSMS,gemma3_4b_zero-shot_basic_direct,spam,smishing,260
MetaSMS,gemma3_4b_zero-shot_basic_direct,smishing,ham,18
MetaSMS,gemma3_4b_zero-shot_basic_direct,smishing,spam,432
MetaSMS,gemma3_4b_zero-shot_basic_direct,smishing,smishing,663
MetaSMS,gemma3_4b_zero-shot_expert_direct,ham,ham,5822
MetaSMS,gemma3_4b_zero-shot_expert_direct,ham,spam,2254
MetaSMS,gemma3_4b_zero-shot_expert_direct,ham,smishing,192
MetaSMS,gemma3_4b_zero-shot_expert_direct,spam,ham,27
MetaSMS,gemma3_4b_zero-shot_expert_direct,spam,spam,274
MetaSMS,gemma3_4b_zero-shot_expert_direct,spam,smishing,318
MetaSMS,gemma3_4b_zero-shot_expert_direct,smishing,ham,12
MetaSMS,gemma3_4b_zero-shot_expert_direct,smishing,spam,346
MetaSMS,gemma3_4b_zero-shot_expert_direct,smishing,smishing,755
MetaSMS,gemma3_4b_zero-shot_expert_cot,ham,ham,5396
MetaSMS,gemma3_4b_zero-shot_expert_cot,ham,spam,2320
MetaSMS,gemma3_4b_zero-shot_expert_cot,ham,smishing,552
MetaSMS,gemma3_4b_zero-shot_expert_cot,spam,ham,24
MetaSMS,gemma3_4b_zero-shot_expert_cot,spam,spam,246
MetaSMS,gemma3_4b_zero-shot_expert_cot,spam,smishing,349
MetaSMS,gemma3_4b_zero-shot_expert_cot,smishing,ham,10
MetaSMS,gemma3_4b_zero-shot_expert_cot,smishing,spam,298
MetaSMS,gemma3_4b_zero-shot_expert_cot,smishing,smishing,805
MetaSMS,gemma3_4b_few-shot_expert_cot,ham,ham,3908
MetaSMS,gemma3_4b_few-shot_expert_cot,ham,spam,3464
MetaSMS,gemma3_4b_few-shot_expert_cot,ham,smishing,896
MetaSMS,gemma3_4b_few-shot_expert_cot,spam,ham,17
MetaSMS,gemma3_4b_few-shot_expert_cot,spam,spam,223
MetaSMS,gemma3_4b_few-shot_expert_cot,spam,smishing,379
MetaSMS,gemma3_4b_few-shot_expert_cot,smishing,ham,6
MetaSMS,gemma3_4b_few-shot_expert_cot,smishing,spam,253
MetaSMS,gemma3_4b_few-shot_expert_cot,smishing,smishing,854
MetaSMS,qwen35_4b_zero-shot_basic_direct,ham,ham,0
MetaSMS,qwen35_4b_zero-shot_basic_direct,ham,spam,0
MetaSMS,qwen35_4b_zero-shot_basic_direct,ham,smishing,8268
MetaSMS,qwen35_4b_zero-shot_basic_direct,spam,ham,0
MetaSMS,qwen35_4b_zero-shot_basic_direct,spam,spam,0
MetaSMS,qwen35_4b_zero-shot_basic_direct,spam,smishing,619
MetaSMS,qwen35_4b_zero-shot_basic_direct,smishing,ham,0
MetaSMS,qwen35_4b_zero-shot_basic_direct,smishing,spam,0
MetaSMS,qwen35_4b_zero-shot_basic_direct,smishing,smishing,1113
MetaSMS,qwen35_4b_zero-shot_expert_direct,ham,ham,0
MetaSMS,qwen35_4b_zero-shot_expert_direct,ham,spam,0
MetaSMS,qwen35_4b_zero-shot_expert_direct,ham,smishing,8268
MetaSMS,qwen35_4b_zero-shot_expert_direct,spam,ham,0
MetaSMS,qwen35_4b_zero-shot_expert_direct,spam,spam,0
MetaSMS,qwen35_4b_zero-shot_expert_direct,spam,smishing,619
MetaSMS,qwen35_4b_zero-shot_expert_direct,smishing,ham,0
MetaSMS,qwen35_4b_zero-shot_expert_direct,smishing,spam,0
MetaSMS,qwen35_4b_zero-shot_expert_direct,smishing,smishing,1113
MetaSMS,qwen35_4b_zero-shot_basic_direct,ham,ham,8045
MetaSMS,qwen35_4b_zero-shot_basic_direct,ham,spam,223
MetaSMS,qwen35_4b_zero-shot_basic_direct,ham,smishing,0
MetaSMS,qwen35_4b_zero-shot_basic_direct,spam,ham,99
MetaSMS,qwen35_4b_zero-shot_basic_direct,spam,spam,419
MetaSMS,qwen35_4b_zero-shot_basic_direct,spam,smishing,101
MetaSMS,qwen35_4b_zero-shot_basic_direct,smishing,ham,146
MetaSMS,qwen35_4b_zero-shot_basic_direct,smishing,spam,711
MetaSMS,qwen35_4b_zero-shot_basic_direct,smishing,smishing,256
MetaSMS,qwen35_4b_zero-shot_expert_direct,ham,ham,7909
MetaSMS,qwen35_4b_zero-shot_expert_direct,ham,spam,314
MetaSMS,qwen35_4b_zero-shot_expert_direct,ham,smishing,45
MetaSMS,qwen35_4b_zero-shot_expert_direct,spam,ham,53
MetaSMS,qwen35_4b_zero-shot_expert_direct,spam,spam,301
MetaSMS,qwen35_4b_zero-shot_expert_direct,spam,smishing,265
MetaSMS,qwen35_4b_zero-shot_expert_direct,smishing,ham,58
MetaSMS,qwen35_4b_zero-shot_expert_direct,smishing,spam,372
MetaSMS,qwen35_4b_zero-shot_expert_direct,smishing,smishing,683
MetaSMS,qwen35_4b_zero-shot_expert_cot,ham,ham,7336
MetaSMS,qwen35_4b_zero-shot_expert_cot,ham,spam,444
MetaSMS,qwen35_4b_zero-shot_expert_cot,ham,smishing,488
MetaSMS,qwen35_4b_zero-shot_expert_cot,spam,ham,31
MetaSMS,qwen35_4b_zero-shot_expert_cot,spam,spam,180
MetaSMS,qwen35_4b_zero-shot_expert_cot,spam,smishing,408
MetaSMS,qwen35_4b_zero-shot_expert_cot,smishing,ham,23
MetaSMS,qwen35_4b_zero-shot_expert_cot,smishing,spam,192
MetaSMS,qwen35_4b_zero-shot_expert_cot,smishing,smishing,898
MetaSMS,qwen35_4b_few-shot_expert_cot,ham,ham,7253
MetaSMS,qwen35_4b_few-shot_expert_cot,ham,spam,460
MetaSMS,qwen35_4b_few-shot_expert_cot,ham,smishing,555
MetaSMS,qwen35_4b_few-shot_expert_cot,spam,ham,32
MetaSMS,qwen35_4b_few-shot_expert_cot,spam,spam,186
MetaSMS,qwen35_4b_few-shot_expert_cot,spam,smishing,401
MetaSMS,qwen35_4b_few-shot_expert_cot,smishing,ham,19
MetaSMS,qwen35_4b_few-shot_expert_cot,smishing,spam,181
MetaSMS,qwen35_4b_few-shot_expert_cot,smishing,smishing,913
MetaSMS,ministral_8b_zero-shot_basic_direct,ham,ham,6706
MetaSMS,ministral_8b_zero-shot_basic_direct,ham,spam,1486
MetaSMS,ministral_8b_zero-shot_basic_direct,ham,smishing,76
MetaSMS,ministral_8b_zero-shot_basic_direct,spam,ham,33
MetaSMS,ministral_8b_zero-shot_basic_direct,spam,spam,382
MetaSMS,ministral_8b_zero-shot_basic_direct,spam,smishing,204
MetaSMS,ministral_8b_zero-shot_basic_direct,smishing,ham,16
MetaSMS,ministral_8b_zero-shot_basic_direct,smishing,spam,567
MetaSMS,ministral_8b_zero-shot_basic_direct,smishing,smishing,530
MetaSMS,ministral_8b_zero-shot_expert_direct,ham,ham,5935
MetaSMS,ministral_8b_zero-shot_expert_direct,ham,spam,2080
MetaSMS,ministral_8b_zero-shot_expert_direct,ham,smishing,253
MetaSMS,ministral_8b_zero-shot_expert_direct,spam,ham,23
MetaSMS,ministral_8b_zero-shot_expert_direct,spam,spam,247
MetaSMS,ministral_8b_zero-shot_expert_direct,spam,smishing,349
MetaSMS,ministral_8b_zero-shot_expert_direct,smishing,ham,12
MetaSMS,ministral_8b_zero-shot_expert_direct,smishing,spam,267
MetaSMS,ministral_8b_zero-shot_expert_direct,smishing,smishing,834
MetaSMS,ministral_8b_zero-shot_expert_cot,ham,ham,6467
MetaSMS,ministral_8b_zero-shot_expert_cot,ham,spam,1290
MetaSMS,ministral_8b_zero-shot_expert_cot,ham,smishing,511
MetaSMS,ministral_8b_zero-shot_expert_cot,spam,ham,53
MetaSMS,ministral_8b_zero-shot_expert_cot,spam,spam,256
MetaSMS,ministral_8b_zero-shot_expert_cot,spam,smishing,310
MetaSMS,ministral_8b_zero-shot_expert_cot,smishing,ham,46
MetaSMS,ministral_8b_zero-shot_expert_cot,smishing,spam,326
MetaSMS,ministral_8b_zero-shot_expert_cot,smishing,smishing,741
MetaSMS,ministral_8b_few-shot_expert_cot,ham,ham,6803
MetaSMS,ministral_8b_few-shot_expert_cot,ham,spam,858
MetaSMS,ministral_8b_few-shot_expert_cot,ham,smishing,607
MetaSMS,ministral_8b_few-shot_expert_cot,spam,ham,56
MetaSMS,ministral_8b_few-shot_expert_cot,spam,spam,210
MetaSMS,ministral_8b_few-shot_expert_cot,spam,smishing,353
MetaSMS,ministral_8b_few-shot_expert_cot,smishing,ham,58
MetaSMS,ministral_8b_few-shot_expert_cot,smishing,spam,240
MetaSMS,ministral_8b_few-shot_expert_cot,smishing,smishing,815
MetaSMS,falcon3_7b_zero-shot_basic_direct,ham,ham,8006
MetaSMS,falcon3_7b_zero-shot_basic_direct,ham,spam,100
MetaSMS,falcon3_7b_zero-shot_basic_direct,ham,smishing,162
MetaSMS,falcon3_7b_zero-shot_basic_direct,spam,ham,68
MetaSMS,falcon3_7b_zero-shot_basic_direct,spam,spam,196
MetaSMS,falcon3_7b_zero-shot_basic_direct,spam,smishing,355
MetaSMS,falcon3_7b_zero-shot_basic_direct,smishing,ham,69
MetaSMS,falcon3_7b_zero-shot_basic_direct,smishing,spam,235
MetaSMS,falcon3_7b_zero-shot_basic_direct,smishing,smishing,809
MetaSMS,falcon3_7b_zero-shot_expert_direct,ham,ham,7307
MetaSMS,falcon3_7b_zero-shot_expert_direct,ham,spam,818
MetaSMS,falcon3_7b_zero-shot_expert_direct,ham,smishing,143
MetaSMS,falcon3_7b_zero-shot_expert_direct,spam,ham,37
MetaSMS,falcon3_7b_zero-shot_expert_direct,spam,spam,307
MetaSMS,falcon3_7b_zero-shot_expert_direct,spam,smishing,275
MetaSMS,falcon3_7b_zero-shot_expert_direct,smishing,ham,28
MetaSMS,falcon3_7b_zero-shot_expert_direct,smishing,spam,389
MetaSMS,falcon3_7b_zero-shot_expert_direct,smishing,smishing,696
MetaSMS,falcon3_7b_zero-shot_expert_cot,ham,ham,7310
MetaSMS,falcon3_7b_zero-shot_expert_cot,ham,spam,613
MetaSMS,falcon3_7b_zero-shot_expert_cot,ham,smishing,345
MetaSMS,falcon3_7b_zero-shot_expert_cot,spam,ham,66
MetaSMS,falcon3_7b_zero-shot_expert_cot,spam,spam,201
MetaSMS,falcon3_7b_zero-shot_expert_cot,spam,smishing,352
MetaSMS,falcon3_7b_zero-shot_expert_cot,smishing,ham,58
MetaSMS,falcon3_7b_zero-shot_expert_cot,smishing,spam,249
MetaSMS,falcon3_7b_zero-shot_expert_cot,smishing,smishing,806
MetaSMS,falcon3_7b_few-shot_expert_cot,ham,ham,7705
MetaSMS,falcon3_7b_few-shot_expert_cot,ham,spam,307
MetaSMS,falcon3_7b_few-shot_expert_cot,ham,smishing,256
MetaSMS,falcon3_7b_few-shot_expert_cot,spam,ham,82
MetaSMS,falcon3_7b_few-shot_expert_cot,spam,spam,206
MetaSMS,falcon3_7b_few-shot_expert_cot,spam,smishing,331
MetaSMS,falcon3_7b_few-shot_expert_cot,smishing,ham,87
MetaSMS,falcon3_7b_few-shot_expert_cot,smishing,spam,244
MetaSMS,falcon3_7b_few-shot_expert_cot,smishing,smishing,782
MetaSMS,olmoe_1b_7b_zero-shot_basic_direct,ham,ham,2275
MetaSMS,olmoe_1b_7b_zero-shot_basic_direct,ham,spam,3985
MetaSMS,olmoe_1b_7b_zero-shot_basic_direct,ham,smishing,2008
MetaSMS,olmoe_1b_7b_zero-shot_basic_direct,spam,ham,7
MetaSMS,olmoe_1b_7b_zero-shot_basic_direct,spam,spam,453
MetaSMS,olmoe_1b_7b_zero-shot_basic_direct,spam,smishing,159
MetaSMS,olmoe_1b_7b_zero-shot_basic_direct,smishing,ham,12
MetaSMS,olmoe_1b_7b_zero-shot_basic_direct,smishing,spam,865
MetaSMS,olmoe_1b_7b_zero-shot_basic_direct,smishing,smishing,236
MetaSMS,olmoe_1b_7b_zero-shot_expert_direct,ham,ham,391
MetaSMS,olmoe_1b_7b_zero-shot_expert_direct,ham,spam,7089
MetaSMS,olmoe_1b_7b_zero-shot_expert_direct,ham,smishing,788
MetaSMS,olmoe_1b_7b_zero-shot_expert_direct,spam,ham,3
MetaSMS,olmoe_1b_7b_zero-shot_expert_direct,spam,spam,599
MetaSMS,olmoe_1b_7b_zero-shot_expert_direct,spam,smishing,17
MetaSMS,olmoe_1b_7b_zero-shot_expert_direct,smishing,ham,3
MetaSMS,olmoe_1b_7b_zero-shot_expert_direct,smishing,spam,1084
MetaSMS,olmoe_1b_7b_zero-shot_expert_direct,smishing,smishing,26
MetaSMS,olmoe_1b_7b_zero-shot_expert_cot,ham,ham,2529
MetaSMS,olmoe_1b_7b_zero-shot_expert_cot,ham,spam,2520
MetaSMS,olmoe_1b_7b_zero-shot_expert_cot,ham,smishing,3219
MetaSMS,olmoe_1b_7b_zero-shot_expert_cot,spam,ham,25
MetaSMS,olmoe_1b_7b_zero-shot_expert_cot,spam,spam,222
MetaSMS,olmoe_1b_7b_zero-shot_expert_cot,spam,smishing,372
MetaSMS,olmoe_1b_7b_zero-shot_expert_cot,smishing,ham,16
MetaSMS,olmoe_1b_7b_zero-shot_expert_cot,smishing,spam,370
MetaSMS,olmoe_1b_7b_zero-shot_expert_cot,smishing,smishing,727
MetaSMS,olmoe_1b_7b_few-shot_expert_cot,ham,ham,4491
MetaSMS,olmoe_1b_7b_few-shot_expert_cot,ham,spam,681
MetaSMS,olmoe_1b_7b_few-shot_expert_cot,ham,smishing,3096
MetaSMS,olmoe_1b_7b_few-shot_expert_cot,spam,ham,49
MetaSMS,olmoe_1b_7b_few-shot_expert_cot,spam,spam,86
MetaSMS,olmoe_1b_7b_few-shot_expert_cot,spam,smishing,484
MetaSMS,olmoe_1b_7b_few-shot_expert_cot,smishing,ham,47
MetaSMS,olmoe_1b_7b_few-shot_expert_cot,smishing,spam,87
MetaSMS,olmoe_1b_7b_few-shot_expert_cot,smishing,smishing,979
