message_id,canonical_label,text_anonymized,reference,source_id,original_label,label_mapping_rule,timestamp_original,license,language,language_confidence,obfuscation_tags,anonymization_status,llm_model,prompt_version,llm_annotation_date,theme,urgency_level,whois_domain,whois_tld,whois_age_days,whois_hidden,whois_country
msg_bedc03e9fc58,ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,mishra_soni_2022,1,ham,ham->ham,,research_use,en,0.69,,raw,,,,,,,,,,
msg_275493fcfc53,ham,What's up? Do you want me to come online? If you are free we can talk sometime�,mishra_soni_2022,2,ham,ham->ham,,research_use,en,0.98,,raw,,,,,,,,,,
msg_ded7433f2fd4,ham,So u workin overtime nigpun?,mishra_soni_2022,3,ham,ham->ham,,research_use,en,0.57,,raw,,,,,,,,,,
msg_60261d295283,ham,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.",mishra_soni_2022,4,ham,ham->ham,,research_use,en,0.92,,raw,,,,,,,,,,
msg_7958fb46da64,ham,Sorry dude. Dont know how i forgot. Even after<PERSON> reminded me. Sorry. Hope you guys had fun.,mishra_soni_2022,7,ham,ham->ham,,research_use,en,0.96,,anonymized,,,,,,,,,,
msg_b7021e79de12,ham,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,mishra_soni_2022,8,ham,ham->ham,,research_use,en,0.99,,raw,,,,,,,,,,
msg_2359753a71e8,ham,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,mishra_soni_2022,9,ham,ham->ham,,research_use,en,0.89,,raw,,,,,,,,,,
msg_eb6fda6930a4,ham,Wat r u doing now?,mishra_soni_2022,10,ham,ham->ham,,research_use,en,0.92,,raw,,,,,,,,,,
msg_a9d781e72a71,ham,Buy one egg for me da..please:),mishra_soni_2022,11,ham,ham->ham,,research_use,en,0.74,,raw,,,,,,,,,,
msg_d697935c8401,ham,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,mishra_soni_2022,12,ham,ham->ham,,research_use,en,0.97,,raw,,,,,,,,,,
msg_85468f40b726,spam,<PERSON>(21/F) is inviting you to be her friend. Reply YES-<PERSON> or NO-910. See her:<URL> STOP? Send STOP FRND to <PHONE_SHORTCODE>,mishra_soni_2022,24,spam,spam->spam,,research_use,en,0.6,,anonymized,,,,,,,,,,
msg_3c8d5054bad0,spam,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",mishra_soni_2022,28,spam,spam->spam,,research_use,en,0.82,,raw,,,,,,,,,,
msg_d0ad1cb5b109,spam,"New Offer! Save upto 40\% electricity bill with Power Saver(GOVT. LAB TESTED), Rs. 1050/-(free home delivery) 3 Yr. Guarantee Call <PHONE>,<PHONE>",mishra_soni_2022,32,spam,spam->spam,,research_use,en,0.51,,anonymized,,,,,,,,,,
msg_e8970b533d30,spam,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,mishra_soni_2022,40,spam,spam->spam,,research_use,en,0.87,,raw,,,,,,,,,,
msg_6554586d0e7f,spam,Overcome programming challenges for multicore and learn the techniques to scale reliability. Attend Intel session at 3.45 PM at Microsoft Community TechDays,mishra_soni_2022,59,spam,spam->spam,,research_use,en,0.83,,raw,,,,,,,,,,
msg_be03cf668352,spam,"5 Free Top Polyphonic Tones call <PHONE>, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to <PHONE_SHORTCODE>, £3 per pole. UnSub <PHONE>",mishra_soni_2022,68,spam,spam->spam,,research_use,en,0.77,,anonymized,,,,,,,,,,
msg_04c4bee3183f,spam,"Noida Commercial Wave Sec-18 Silver @ <PHONE_SHORTCODE>/- PSF Gold @ <PHONE_SHORTCODE>/- PSF, Logix Sec-124 @ 8200/- PSF For Best Deal Call <PHONE>/3",mishra_soni_2022,84,spam,spam->spam,,research_use,en,0.63,,anonymized,,,,,,,,,,
msg_54c5f6334d2e,spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Send HMV to <PHONE_SHORTCODE> More info:www.<TRACKING_ID>-real.com,mishra_soni_2022,87,spam,spam->spam,,research_use,en,0.59,,anonymized,,,,,,,,,,
msg_02dcf393ce26,spam,"Welcome to UK-mobile-date this msg is FREE giving you free calling to <PHONE> Future mgs billed at 150p daily. To cancel send ""go stop"" to <PHONE_SHORTCODE>",mishra_soni_2022,90,spam,spam->spam,,research_use,en,0.87,,anonymized,,,,,,,,,,
msg_b5e30ecc9760,spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800,mishra_soni_2022,106,spam,spam->spam,,research_use,en,0.72,,raw,,,,,,,,,,
msg_a823896898a2,smishing,Please Stay At Home. To encourage the notion of staying at home. All tax-paying citizens are entitled to �305.96 or more emergency refund. smsg.io/fCVbD,mishra_soni_2022,5,Smishing,smishing->smishing,,research_use,en,0.91,,raw,,,,,,,,,,
msg_cafe983b16d1,smishing,BankOfAmerica Alert <PHONE_SHORTCODE>. Please follow <URL> re-activate,mishra_soni_2022,6,Smishing,smishing->smishing,,research_use,en,0.44,,anonymized,,,,,,,,,,
msg_866f2c01c91c,smishing,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to <PHONE_SHORTCODE> . SkilGme<ADDRESS> <TRACKING_ID>,mishra_soni_2022,27,Smishing,smishing->smishing,,research_use,en,0.66,,anonymized,,,,,,,,,,
msg_301da4b4c657,smishing,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call <PHONE>,mishra_soni_2022,39,Smishing,smishing->smishing,,research_use,en,0.94,,anonymized,,,,,,,,,,
msg_101c306fb97d,smishing,Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call <PHONE>quoting claim code 3100 standard rates app,mishra_soni_2022,43,Smishing,smishing->smishing,,research_use,en,0.86,,anonymized,,,,,,,,,,
